ISO,COUNTRY,2019INDEP,2020INDEP,2019ELECT,2020ELECT,2019AUSCORR,2020AUSCORR,2019PAR,2020PAR,2019IDH,2020IDH,PERCOR_2020.y.x,PERCOR_2019.y.x,2019LEG,2020LEG,DES2019,DES2020,COUNTRY.x.y,PERCOR_2020.y.y,PERCOR_2019.y.y,INFLACION_2019,INFLACION_2020
ALB,Albania,0.500630557803966,0.519485723317098,1,1,0.29291345450259,0.29291345450259,0.306,0.31,0.81,0.794,36,35,5.7,5.8,11.4700002670288,13.3290004730225,Albania,36,35,1.41109078954248,1.62088661717004
ARE,United Arab Emirates,0.296062809150737,0.284550564229974,0,0,0.663384119277669,0.663384119277669,0.03,0.038,0.92,0.912,71,71,6.6,6.5,2.23000001907349,3.18799996376038,United Arab Emirates,71,71,-1.93108114782171,-2.0794031794094
ARM,Armenia,0.530661558684319,0.471559364838627,0.757503043355803,0.757503043355803,0.571899807459855,0.544229820126355,0.563,0.517,0.778,0.757,49,42,7.1,6.6,18.2999992370605,21.2059993743896,Armenia,49,42,1.44344660770702,1.21143577838465
AUS,Australia,0.981589242019621,0.981589242019621,1,1,0.861388310297056,0.861388310297056,0.61,0.618,0.94,0.946,77,77,1,0.7,5.15999984741211,6.46000003814697,Australia,77,77,1.61076787290379,0.846905537459293
AUT,Austria,0.761145219073164,0.761145219073164,1,1,0.719401434675011,0.736165419559843,0.621,0.616,0.919,0.913,76,77,1.1,0.8,4.48999977111816,5.3600001335144,Austria,76,77,1.53089564152645,1.38191063351859
AZE,Azerbaijan,0.036189331147397,0.098667521007243,0.596809139715221,0.596809139715221,0.189927769324267,0.161937467499719,0.065,0.066,0.761,0.73,30,30,9,9.1,4.84999990463257,6.46299982070923,Azerbaijan,30,30,2.61057182799216,2.75980947008126
BDI,Burundi,0.216768178184963,0.17031799165619,0.507906352415893,0.507906352415893,0.138357931861604,0.176348879873023,0.15,0.15,0.43,0.425,19,19,9,9.1,1.58899998664856,1.70700001716614,Burundi,19,19,-0.686772170797229,7.32110643415513
BEL,Belgium,0.732972181251862,0.732972181251862,1,1,0.842100464158,0.842100464158,0.634,0.631,0.936,0.928,76,75,1.4,1.1,5.3600001335144,5.55000019073486,Belgium,76,75,1.43681956996435,0.740791812220385
BEN,Benin,0.472596020711257,0.432121055803217,0.757503043355803,0.757503043355803,0.499214574313917,0.670107320940114,0.305,0.241,0.53,0.524,41,41,4.8,4.9,1.47000002861023,1.58399999141693,Benin,41,41,-0.70502663454275,3.02272119663756
BFA,Burkina Faso,0.477838202303996,0.477838202303996,0.596809139715221,0.596809139715221,0.498152560295423,0.498152560295423,0.432,0.429,0.452,0.449,40,40,6.5,6.2,4.69299983978271,4.89499998092651,Burkina Faso,40,40,-3.23338933983321,1.88470066518846
BGD,Bangladesh,0.277071664403086,0.302846014155302,0.507906352415893,0.507906352415893,0.182048327254729,0.182048327254729,0.129,0.133,0.644,0.655,26,26,7.6,7.3,4.43800020217896,5.41300010681152,Bangladesh,26,26,5.59199639930633,5.6910747474621
BGR,Bulgaria,0.596464499040011,0.581332058897748,1,1,0.445125401823732,0.439811409531237,0.456,0.454,0.81,0.802,44,43,3.9,3.6,4.23000001907349,5.11999988555908,Bulgaria,44,43,3.10372944796774,1.67244096855762
BHR,Bahrain,0.177033917530216,0.177033917530216,0.403613814208192,0.403613814208192,0.4205654872407,0.4205654872407,0.035,0.034,0.882,0.877,42,42,8.5,8.3,1.19599997997284,1.78100001811981,Bahrain,42,42,1.00582004702132,-2.31770629331374
BIH,Bosnia and Herzegovina,0.536501449785747,0.532394263115113,0.592796181284502,0.592796181284502,0.316097069545503,0.308762521400582,0.314,0.328,0.783,0.781,35,36,6.3,6.4,15.6899995803833,15.2650003433228,Bosnia and Herzegovina,35,36,0.562782154061303,-1.05129600763481
BLR,Belarus,0.128829068227855,0.101910381951478,0.596809139715221,0.596809139715221,0.471671043035165,0.469744736054906,0.102,0.094,0.816,0.807,47,45,8.8,8.5,4.15999984741211,4.76800012588501,Belarus,47,45,5.59815595039851,5.54814357456511
BRA,Brazil,0.616930341473903,0.614226996053502,1,1,0.491672385021229,0.494721304902882,0.424,0.433,0.766,0.758,38,35,7,6.7,11.9300003051758,13.6899995803833,Brazil,38,35,3.73297621216894,3.21176803803379
