ISO,COUNTRY,2019INDEP,2020INDEP,2019ELECT,2020ELECT,2019AUSCORR,2020AUSCORR,2019PAR,2020PAR,2019IDH,2020IDH,2019LEG,2020LEG,DES2019,DES2020,SANITATION_2019,SANITATION_2020,PERCOR_2020,PERCOR_2019,INFLACION_2019,INFLACION_2020
BDI,Burundi,0.216768178184963,0.17031799165619,0.507906352415893,0.507906352415893,0.138357931861604,0.176348879873023,0.15,0.15,0.43,0.425,9,9.1,1.58899998664856,1.70700001716614,45.74528,45.72751,19,19,-0.686772170797229,7.32110643415513
BEN,Benin,0.472596020711257,0.432121055803217,0.757503043355803,0.757503043355803,0.499214574313917,0.670107320940114,0.305,0.241,0.53,0.524,4.8,4.9,1.47000002861023,1.58399999141693,16.51526,16.96288,41,41,-0.70502663454275,3.02272119663756
BFA,Burkina Faso,0.477838202303996,0.477838202303996,0.596809139715221,0.596809139715221,0.498152560295423,0.498152560295423,0.432,0.429,0.452,0.449,6.5,6.2,4.69299983978271,4.89499998092651,21.3406,21.66437,40,40,-3.23338933983321,1.88470066518846
BWA,Botswana,0.631130809583551,0.62589460874845,0.71157366794528,0.71157366794528,0.578125682529142,0.659776993584958,0.416,0.367,0.716,0.712,2.7,2.4,22.6100006103516,24.9300003051758,79.75169,80.02625,60,61,2.7728644286333,1.89035916824198
CMR,Cameroon,0.217288691277166,0.204962082158646,0.596809139715221,0.596809139715221,0.157904953873993,0.145108241660747,0.112,0.118,0.582,0.577,9.2,8.9,3.63800001144409,3.83699989318848,44.21839,44.63112,25,25,2.45280214062733,2.43760882182242
DOM,Dominican Republic,0.371255821089945,0.546323286186307,1,1,0.159024405139514,0.375408023331259,0.329,0.379,0.771,0.764,6,6.3,6.3600001335144,6.13000011444092,86.72523,87.17818,28,28,1.8106037704296,3.78103179915516
GAB,Gabon,0.32788904803039,0.341061159976219,0.596809139715221,0.596809139715221,0.293865381652475,0.305081316027164,0.266,0.264,0.708,0.71,7.8,7.8,20.742000579834,21.9720001220703,49.78482,49.82417,30,31,2.46456756151187,1.17681176042119
GIN,Guinea,0.314083892932049,0.314083892932049,0.757503043355803,0.757503043355803,0.239577788214539,0.239577788214539,0.235,0.223,0.467,0.466,9.8,9.9,5.01999998092651,6.10300016403198,28.49013,29.77614,28,29,9.47077937313535,10.6018600008336
GTM,Guatemala,0.555533446536442,0.57255859813355,1,1,0.30337404655559,0.315942133560544,0.349,0.356,0.642,0.635,6.7,6.4,2.19000005722046,3.55299997329712,67.68919,67.92858,25,26,3.69998398008601,3.21444062197346
GUY,Guyana,0.553358938108744,0.581952488253191,0.888593521750256,0.888593521750256,0.46857297731717,0.438620694955572,0.397,0.35,0.707,0.72,4.8,4.5,13.9919996261597,16.4309997558594,85.77492,85.78251,41,40,2.0872308916202,0.993337022838757
HTI,Haiti,0.320453075775314,0.334206619133369,0.596809139715221,0.596809139715221,0.230094794853553,0.295284425441366,0.233,0.215,0.543,0.54,8.8,9.1,13.914999961853,15.451000213623,36.93853,37.12173,18,18,18.7037825672506,22.7963113642528
IDN,Indonesia,0.567058345870176,0.549544797919464,1,1,0.311003423909931,0.270514626517457,0.411,0.4,0.715,0.708,4.5,4.2,3.61999988555908,4.28000020980835,83.85609,86.46264,37,40,3.03058664969491,1.92096800566845
JAM,Jamaica,0.72543972694065,0.730186469350041,1,1,0.647221138236471,0.625554217567384,0.559,0.548,0.718,0.712,4.2,3.9,7.69000005722046,9.47999954223633,86.6316,86.60642,44,43,3.90510000865876,5.22677779293517
KAZ,Kazakhstan,0.231812011483494,0.250080960659913,0.507906352415893,0.507906352415893,0.32388073180057,0.32388073180057,0.078,0.081,0.818,0.813,8.5,8.4,4.80000019073486,4.8899998664856,97.86969,97.86712,38,34,5.24547679608388,6.74900183815967
KEN,Kenya,0.547453190287877,0.547453190287877,0.749856402566357,0.749856402566357,0.411698362988437,0.406078825412835,0.3,0.311,0.58,0.577,8.2,7.9,5.01000022888184,5.72900009155273,32.62581,32.69894,31,28,5.23585999425422,5.40481467184518
KHM,Cambodia,0.239123776262547,0.221919869651845,0.487284053259537,0.487284053259537,0.140080553489076,0.140080553489076,0.138,0.137,0.597,0.595,8.7,8.4,0.146999999880791,0.331000000238419,65.60983,68.7693,21,20,1.94257500833109,2.94029514263973
LKA,Sri Lanka,0.694144562905939,0.507398084173628,1,1,0.469999657973695,0.425883783949332,0.347,0.344,0.778,0.78,6.9,6.6,4.34999990463257,5.87799978256226,93.6544,93.65293,38,38,3.52839358231809,6.15394508391743
MDV,Maldives,0.447053711600295,0.508181857503069,0.932146459280028,0.932146459280028,0.526955560539771,0.540778494352717,0.295,0.339,0.755,0.733,8.3,7.8,5.34000015258789,6.32800006866455,98.26842,99.15533,43,29,0.220029731065343,-1.3697742556981
MOZ,Mozambique,0.464347485113637,0.484004750572108,0.596809139715221,0.596809139715221,0.348393626130329,0.358360944126115,0.251,0.223,0.456,0.453,6.8,7.3,3.46600008010864,3.80999994277954,35.58641,37.20487,25,26,2.78110631182942,3.14169129409215
MRT,Mauritania,0.309182852137884,0.310455735908064,0.487284053259537,0.487284053259537,0.305872631583808,0.243828766520793,0.247,0.26,0.562,0.556,8.3,8,10.3929996490479,11.2700004577637,49.37599,49.83422,29,28,2.30009262117938,2.38569488456317
NAM,Namibia,0.567578591921571,0.626537724239057,0.596809139715221,0.596809139715221,0.502287836078423,0.487884424679962,0.429,0.393,0.639,0.633,3,2.9,19.988000869751,21.4459991455078,34.96078,35.25997,51,52,3.72239414422688,2.20938236933476
NIC,Nicaragua,0.03384419007515,0.03384419007515,0.596809139715221,0.596809139715221,0.277166503820617,0.165498559353345,0.147,0.14,0.664,0.654,8.1,8.4,5.21099996566772,6.07800006866455,72.9694,73.0211,22,22,5.3762899084413,3.68181341625573
OMN,Oman,0.413756208251918,0.413756208251918,0.403613814208192,0.403613814208192,0.514983202998498,0.514983202998498,0.124,0.123,0.838,0.826,7,6.9,1.84800004959106,2.94000005722046,99.32004,99.32024,54,52,0.133795057453182,-0.903874872278535
PAK,Pakistan,0.473176632810784,0.524937318046665,1,1,0.331713808801807,0.341915118495281,0.214,0.232,0.546,0.543,7.9,7.6,3.54200005531311,4.30299997329712,66.5799,68.39731,31,32,10.5783618004555,9.73999313898131
PAN,Panama,0.445928963330096,0.456621452123919,1,1,0.470404994987133,0.464738177977044,0.455,0.463,0.816,0.801,2.9,2.8,4.72599983215332,12.8540000915527,83.37855,84.57385,35,36,-0.355083821021212,-1.55027540803759
PNG,Papua New Guinea,0.624526739846588,0.637773490679139,0.757503043355803,0.757503043355803,0.314902007290905,0.314902007290905,0.257,0.256,0.56,0.56,6.2,6,2.44899988174438,2.59500002861023,19.14929,19.22383,27,28,3.92867290939598,4.87167398565548
RWA,Rwanda,0.314499082863156,0.354722840776146,0.403613814208192,0.403613814208192,0.538531613436361,0.538531613436361,0.196,0.185,0.534,0.532,6.8,6.8,1.09800004959106,1.48500001430511,68.85992,68.83344,54,53,3.3478765503764,9.85039902274209
SDN,Sudan,0.37819971341922,0.379477485067874,0.403613814208192,0.403613814208192,0.435154349906756,0.399458411387346,0.114,0.105,0.514,0.51,9.8,9.3,17.6539993286133,19.6490001678467,36.77826,36.89208,16,16,50.9940515002971,150.322723865569
SLB,Solomon Islands,0.612616818581693,0.612022554839848,1,1,0.382054529136118,0.373174843312394,0.365,0.367,0.566,0.564,6.2,5.9,0.754999995231628,0.916000008583069,34.49241,34.75592,42,42,1.63485544012242,2.96354992076069
SLV,El Salvador,0.462821906173126,0.466775161450499,1,1,0.429075290644529,0.33199306525213,0.376,0.336,0.683,0.672,4.2,4,4.17000007629395,6.2480001449585,82.65923,82.44975,36,34,0.0753241350024327,-0.371590212323993
SSD,South Sudan,0.298358504613048,0.298358504613048,0.041904429567227,0.041904429567227,0.096520133370552,0.113814860794871,0.064,0.07,0.393,0.386,10,9.9,12.2259998321533,14.0299997329712,15.74728,15.84482,12,12,87.2413641500032,29.6758435538571
TTO,Trinidad and Tobago,0.631601789536841,0.632098315843828,1,1,0.693124765587979,0.693124765587979,0.483,0.481,0.82,0.817,3.9,3.6,3.42199993133545,4.56799983978271,93.91521,93.91521,40,40,1.00054293027224,0.598986330824747
UGA,Uganda,0.477717295590067,0.494571798191588,0.403613814208192,0.403613814208192,0.286122132795646,0.293744229671673,0.218,0.203,0.525,0.524,8.6,8.3,1.92499995231628,2.76799988746643,19.66032,19.78964,27,28,2.86909425020554,3.7944227490438
URY,Uruguay,0.746874792513113,0.817555327584653,1,1,0.695568014562028,0.695568014562028,0.727,0.694,0.82,0.82,0.7,0.4,8.88000011444092,10.3500003814697,97.7678,98.05453,71,71,7.88198870879622,9.75640636078191
ZAF,South Africa,0.64933341152209,0.667917844723415,0.792424811829241,0.792424811829241,0.389887642272029,0.455992495296376,0.459,0.431,0.735,0.726,6.5,6.2,28.4699993133545,29.2199993133545,77.58448,78.47461,44,44,4.12024587014984,3.21003597454107
ZMB,Zambia,0.48225247197273,0.478791977668081,0.888593521750256,0.888593521750256,0.450081075742464,0.451944782550212,0.237,0.202,0.574,0.569,8.1,7.8,12.5200004577637,12.8479995727539,31.48123,31.89963,33,34,9.15031644316299,15.7325851421273
